Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit
CA-2016-152156,11/8/2016,11/11/2016,"Second Class",CG-12520,FUR-CH-10000454,731.94,3,0,219.582
US-2015-108966,10/11/2015,10/18/2015,"Standard Class",SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031
CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092
CA-2015-106320,9/25/2015,9/30/2015,"Standard Class",EB-13870,FUR-TA-10000577,1044.63,3,0,240.2649
US-2015-150630,9/17/2015,9/21/2015,"Standard Class",TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522
CA-2016-117590,12/8/2016,12/10/2016,"First Class",GH-14485,TEC-PH-10004977,1097.544,7,0.2,123.4737
CA-2015-117415,12/27/2015,12/31/2015,"Standard Class",SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764
CA-2016-105816,12/11/2016,12/17/2016,"Standard Class",JM-15265,TEC-PH-10002447,1029.95,5,0,298.6855
CA-2016-111682,6/17/2016,6/18/2016,"First Class",TB-21055,FUR-CH-10003968,319.41,5,0.1,7.098
CA-2014-106376,12/5/2014,12/10/2014,"Standard Class",BS-11590,OFF-AR-10002671,1113.024,8,0.2,111.3024
CA-2015-129476,10/15/2015,10/20/2015,"Standard Class",PA-19060,TEC-AC-10000844,339.96,5,0.2,67.992
CA-2015-110744,9/7/2015,9/12/2015,"Standard Class",HA-14920,OFF-ST-10003656,671.93,7,0,20.1579
CA-2016-114489,12/5/2016,12/9/2016,"Standard Class",JE-16165,FUR-CH-10000454,1951.84,8,0,585.552
CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",BM-11140,TEC-MA-10000822,8159.952,8,0.4,-1359.992
CA-2014-118962,8/5/2014,8/9/2014,"Standard Class",CS-12130,FUR-CH-10003817,340.144,7,0.2,21.259
CA-2014-166191,12/5/2014,12/9/2014,"Second Class",DK-13150,TEC-AC-10004659,408.744,7,0.2,76.6395
